f,t,person,dist,face_ok,face_vis,posture,torso,hd,p_score,p_conf,ear,ear_c,perc,p_dev,r_dev,disp,still,score,mode,state
1,0.14,False,,False,False,,,,,,,,,,,0.0,0.0,0.0,body_only,ACTIVE
2,0.25,False,,False,False,,,,,,,,,,,0.01933,0.0,0.0,body_only,ACTIVE
3,0.31,False,,False,False,,,,,,,,,,,0.01955,0.0,0.0,body_only,ACTIVE
4,0.37,False,,False,False,,,,,,,,,,,0.01995,0.0,0.0,body_only,ACTIVE
5,0.43,False,,False,False,,,,,,,,,,,0.01948,0.0,0.0,body_only,ACTIVE
6,0.51,False,,False,False,,,,,,,,,,,0.01928,0.0,0.0,body_only,ACTIVE
7,0.58,False,,False,False,,,,,,,,,,,0.0193,0.0,0.0,body_only,ACTIVE
8,0.64,False,,False,False,,,,,,,,,,,0.01981,0.0,0.0,body_only,ACTIVE
9,0.71,False,,False,False,,,,,,,,,,,0.01952,0.0,0.0,body_only,ACTIVE
10,0.77,False,,False,False,,,,,,,,,,,0.01954,0.0,0.0,body_only,ACTIVE
11,0.83,False,,False,False,,,,,,,,,,,0.01997,0.0,0.0,body_only,ACTIVE
12,0.9,False,,False,False,,,,,,,,,,,0.01972,0.0,0.0,body_only,ACTIVE
13,0.98,False,,False,False,,,,,,,,,,,0.01998,0.0,0.0,body_only,ACTIVE
14,1.04,False,,False,False,,,,,,,,,,,0.02018,0.0,0.0,body_only,ACTIVE
15,1.1,False,,False,False,,,,,,,,,,,0.01992,0.0,0.0,body_only,ACTIVE
16,1.2,False,,False,False,,,,,,,,,,,0.01861,0.0,0.0,body_only,ACTIVE
17,1.3,False,,False,False,,,,,,,,,,,0.01578,0.0,0.0,body_only,ACTIVE
18,1.41,False,,False,False,,,,,,,,,,,0.01567,0.0,0.0,body_only,ACTIVE
19,1.5,False,,False,False,,,,,,,,,,,0.01559,0.0,0.0,body_only,ACTIVE
20,1.6,False,,False,False,,,,,,,,,,,0.01567,0.0,0.0,body_only,ACTIVE
21,1.69,False,,False,False,,,,,,,,,,,0.01565,0.0,0.0,body_only,ACTIVE
22,1.79,False,,False,False,,,,,,,,,,,0.01584,0.0,0.0,body_only,ACTIVE
23,1.9,False,,False,False,,,,,,,,,,,0.0159,0.0,0.0,body_only,ACTIVE
24,2.0,False,,False,False,,,,,,,,,,,0.01592,0.0,0.0,body_only,ACTIVE
25,2.09,False,,False,False,,,,,,,,,,,0.0155,0.0,0.0,body_only,ACTIVE
26,2.19,False,,False,False,,,,,,,,,,,0.01567,0.0,0.0,body_only,ACTIVE
27,2.29,False,,False,False,,,,,,,,,,,0.01543,0.0,0.0,body_only,ACTIVE
28,2.4,False,,False,False,,,,,,,,,,,0.01576,0.0,0.0,body_only,ACTIVE
29,2.5,False,,False,False,,,,,,,,,,,0.01547,0.0,0.0,body_only,ACTIVE
30,2.59,False,,False,False,,,,,,,,,,,0.0155,0.0,0.0,body_only,ACTIVE
31,2.69,False,,False,False,,,,,,,,,,,0.0158,0.0,0.0,body_only,ACTIVE
32,2.8,False,,False,False,,,,,,,,,,,0.01583,0.0,0.0,body_only,ACTIVE
33,2.89,False,,False,False,,,,,,,,,,,0.01538,0.0,0.0,body_only,ACTIVE
34,2.99,False,,False,False,,,,,,,,,,,0.01574,0.0,0.0,body_only,ACTIVE
35,3.09,False,,False,False,,,,,,,,,,,0.01577,0.0,0.0,body_only,ACTIVE
36,3.18,False,,False,False,,,,,,,,,,,0.01573,0.0,0.0,body_only,ACTIVE
37,3.3,False,,False,False,,,,,,,,,,,0.0158,0.0,0.0,body_only,ACTIVE
38,3.39,False,,False,False,,,,,,,,,,,0.01561,0.0,0.0,body_only,ACTIVE
39,3.49,False,,False,False,,,,,,,,,,,0.01571,0.0,0.0,body_only,ACTIVE
40,3.58,False,,False,False,,,,,,,,,,,0.01593,0.0,0.0,body_only,ACTIVE
